SpecimenID,Family,Order,Genus,Species,SpeciesCode,j_fg,Site,Region,TL,SL,FL,wt,length.cm.,a..cm.,b..cm.,calc_wt,gh,gw,dissected_by,stomach_contents,prey_size,coll_notes,dis_notes,ga,gh_ratio,gw_ratio,ga_ratio,observer_id
KIF11_066,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,27,HP.HF,219,172,195,170.6,NA,NA,NA,NA,27.9,24,SC,stomach empty; gut full of tiny gastropod shells and crustacean bits,,,,525.9026102,0.162209302,0.139534884,0.017776589,19
KIF11_068,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,27,HP.HF,253,200,223,286.4,NA,NA,NA,NA,37.6,30.1,SX,"stomach empty; intestines - > urchin spines, mollusk shell, sand, shells",,,,888.8822254,0.188,0.1505,0.022222056,22
KIF11_072,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,30,HP.HF,228,179,202,198.9,NA,NA,NA,NA,20.6,20,JB,stomach empty; hindgut urchin; crustacean appendage; other gritty bits/shells,,,,323.5840433,0.115083799,0.111731844,0.010099062,7
KIF11_107,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,19,LP.LF,290,236,250,404.1,NA,NA,NA,NA,27,21.2,,"nothin identifiable, hindgut - gastropod",,,,449.5619087,0.11440678,0.089830508,0.008071709,1
KIF11_120,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,27,HP.HF,271,210,239,400,NA,NA,NA,NA,37.2,29.6,,"empty - gut gastropod shells, crustacean bits",,,,864.8176257,0.177142857,0.140952381,0.019610377,1
KIF11_132,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,3,LP.MF,290,225,252,437.8,NA,NA,NA,NA,49,40.1,,stomach - small amount of snot; intestine - gastropod shells,,,,1543.228851,0.217777778,0.178222222,0.030483533,1
KIF11_159,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,27,HP.HF,243,187,212,257.3,NA,NA,NA,NA,29.2,30.1,,"stomach empty, hindgut = crab and gastropod remains",,,,690.3021538,0.156149733,0.160962567,0.019740403,1
KIF11_166,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,265,210,230,309.1,NA,NA,NA,NA,31.2,29.5,,"empty (goo retained), hind gut w/ gastropod remains",,,,722.8804696,0.148571429,0.14047619,0.016391847,1
KIF11_173,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,35,HP.LF,171,129,145,81.5,NA,NA,NA,NA,19.7,20.2,,"stomach empty, gut full of sandy grit",,,,312.5413451,0.152713178,0.156589147,0.018781404,1
KIF11_229,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,246,187,214,257.4,NA,NA,NA,NA,37.3,30,RT/SC,snot and shell fragments,,,,878.8605448,0.199465241,0.160427807,0.025132562,18
KIF11_230,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,209,167,187,164.1,NA,NA,NA,NA,25.8,25.5,RT/SC,empty,,,,516.7134517,0.154491018,0.152694611,0.0185275,18
KIF11_231,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,173,125,149,92.5,NA,NA,NA,NA,27.4,21.2,RT/SC,snot,,,,456.2220852,0.2192,0.1696,0.029198213,18
KIF11_232,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,284,218,245,345.4,NA,NA,NA,NA,31.1,30.1,RT/SC,snot,,,,735.2190747,0.14266055,0.138073394,0.01547048,18
KIF11_233,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,273,205,235,366,NA,NA,NA,NA,39.7,36,RT/SC,empty,,,,1122.491055,0.193658537,0.175609756,0.026710079,18
KIF11_234,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,260,196,221,270,NA,NA,NA,NA,33,30.1,RT/SC,empty,,,,780.1359957,0.168367347,0.153571429,0.02030758,18
KIF11_235,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,286,215,253,381.5,NA,NA,NA,NA,43.7,38.9,RT/SC,snot,,,,1335.1219,0.203255814,0.180930233,0.028883113,18
KIF11_236,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,260,200,227,277.5,NA,NA,NA,NA,28.8,25,RT/SC,snot,,,,565.4866776,0.144,0.125,0.014137167,18
KIF11_263,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,3,LP.MF,299,228,262,457.8,NA,NA,NA,NA,41.3,29.9,RT/SC,unidentifiable snot,,,,969.86463,0.181140351,0.131140351,0.018656983,18
KIF11_278,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,3,LP.MF,265,202,235,339.8,NA,NA,NA,NA,37.8,30.5,RT/SC,"empty, gutshot",,,,905.4855426,0.187128713,0.150990099,0.022191098,18
KIF11_390,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,2,LP.MF,273,211,243,362.2,NA,NA,NA,NA,42.1,31.9,RT/SC,snot,,,,1054.781879,0.199526066,0.151184834,0.023691783,18
KIF11_391,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,2,LP.MF,275,214,238,364.1,NA,NA,NA,NA,44,35.6,RT/SC,snot,,,,1230.247683,0.205607477,0.16635514,0.026863649,18
KIF11_392,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,2,LP.MF,283,218,148,379.7,NA,NA,NA,NA,47.3,43,RT/SC,snot,,,,1597.421325,0.216972477,0.197247706,0.033612939,18
KIF11_393,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,2,LP.MF,256,199,223,337.5,NA,NA,NA,NA,41.3,35.1,RT/SC,snot,,,,1138.53674,0.207537688,0.17638191,0.028750202,18
KIF11_394,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,2,LP.MF,279,216,350,377.8,NA,NA,NA,NA,44,31,RT/SC,snot and shell,,,,1071.283095,0.203703704,0.143518519,0.022961315,18
KIF11_395,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,2,LP.MF,275,208,239,347.2,NA,NA,NA,NA,31.5,33,RT/SC,SNOT,,,,816.4213909,0.151442308,0.158653846,0.018870687,18
KIF11_397,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,38,LP.MF,258,201,218,321.6,NA,NA,NA,NA,42.1,35.3,RT/SC,snot,,,,1167.203773,0.209452736,0.175621891,0.028890467,18
KIF11_400,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,24,LP.MF,399,311,360,1090.8,NA,NA,NA,NA,65,46.6,RT/SC,"snot, many urchin spines in lower gut (E. mat and D.sav)",,,,2378.971037,0.209003215,0.149839228,0.02459622,18
KIF11_402,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,16,LP.LF,275,210,254,375.2,NA,NA,NA,NA,40.7,38.6,RT/SC,snot,,,,1233.876223,0.193809524,0.183809524,0.027979053,18
KIF11_403,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,16,LP.LF,310,235,270,475.8,NA,NA,NA,NA,49.5,31.7,RT/SC,empty,,,,1232.407528,0.210638298,0.134893617,0.022316116,18
KIF11_407,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,24,LP.MF,303,232,265,513.2,NA,NA,NA,NA,43,40,RT/SC,snott,,,,1350.884841,0.185344828,0.172413793,0.025098187,18
KIF11_423,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,3,LP.MF,278,213,244,430.6,NA,NA,NA,NA,46.6,27.6,RT/SC,snot,,,,1010.147702,0.218779343,0.129577465,0.022265152,18
KIF11_424,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,3,LP.MF,277,211,239,355.2,NA,NA,NA,NA,43.1,27.5,RT/SC,snot,,,,930.8931732,0.204265403,0.130331754,0.020909081,18
KIF11_426,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,3,LP.MF,280,219,250,404.8,NA,NA,NA,NA,38,27.8,RT/SC,snot,,,,829.6946198,0.173515982,0.126940639,0.01729936,18
KIF11_432,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,30,HP.HF,256,199,228,295.4,NA,NA,NA,NA,34.6,27,RT/SC,snot,,,,733.7189642,0.173869347,0.135678392,0.018527789,18
KIF11_440,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,27,HP.HF,301,232,268,468.5,NA,NA,NA,NA,31.3,29.1,RT/SC,snot,,,,715.3642092,0.134913793,0.125431034,0.013290804,18
KIF11_441,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,27,HP.HF,276,210,240,364,NA,NA,NA,NA,37,23.2,RT/SC,snot,,,,674.1857835,0.176190476,0.11047619,0.015287659,18
KIF11_442,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,27,HP.HF,262,202,230,339,NA,NA,NA,NA,34,26.2,RT/SC,snot,,,,699.632684,0.168316832,0.12970297,0.017146179,18
KIF11_445,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,8,HP.LF,268,204,235,336.2,NA,NA,NA,NA,34.8,33.3,RT/SC,snot,,,,910.1508077,0.170588235,0.163235294,0.021870214,18
KIF11_455,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,26,LP.MF,280,219,251,441.4,NA,NA,NA,NA,40.6,28.5,RT/SC,e.mat spines lower gut,,"Original site notation: 26/25, so either between these two sites, or not sure of which one.","Original site notation: 26/25, so either between these two sites, or not sure of which one.",908.7842149,0.185388128,0.130136986,0.0189484,18
KIF11_293,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,10,LP.LF,280,225,245,370,NA,NA,NA,NA,42,39.4,RT/SC,empty,,,,1299.676881,0.186666667,0.175111111,0.02567263,18
KIF11_294,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,11,LP.LF,269,206,236,333.3,NA,NA,NA,NA,31.3,34.2,RT/SC,empty,,,,840.737318,0.151941748,0.166019417,0.019811889,18
KIF11_578,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,8,HP.LF,255,203,228,329.1,NA,NA,NA,NA,33,23.4,KP,sludge,,CHECK WITH AO/KELSEA FOR WHETHER PHOTO 578 IS CORRECT,CHECK WITH AO/KELSEA FOR WHETHER PHOTO 578 IS CORRECT,606.4844618,0.162561576,0.115270936,0.014717282,10
KIF12_029,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,30,HP.HF,171.5,124.2,140.6,67.1,NA,NA,NA,NA,20.8,16.5,SC,small white hard bits -> possibly gastropod; shell fragments,NA,,,269.5486497,0.16747182,0.132850242,0.017474066,19
KIF12_105,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,3,LP.MF,245.4,186,215,290,NA,NA,NA,NA,38.6,28.3,SC,snot and a fish scale,NA,,,857.9532457,0.207526882,0.152150538,0.024799204,19
KIF12_113,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,2,LP.MF,300,234,271,400,NA,NA,NA,NA,40,34.9,RT,empty stomach - lower intestines urchin remains,NA,,,1096.415836,0.170940171,0.149145299,0.020023666,14
KIF12_128,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,30,HP.HF,160.5,120.8,146.7,62.5,NA,NA,NA,NA,20.6,21.3,AB,,NA,,,344.6170061,0.170529801,0.176324503,0.023615809,2
KIF12_140,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,283,224,264,400,NA,NA,NA,NA,43.2,38.3,AB,crustacean remains,NA,OTOLITH DESTROYED,OTOLITH DESTROYED,1299.488385,0.192857143,0.170982143,0.025898605,2
KIF12_156,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,6,HP.LF,245,196,225,200,NA,NA,NA,NA,43.1,33.1,AB,empty stomach,NA,,,1120.456874,0.219897959,0.168877551,0.029166412,2
KIF12_157,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,6,HP.LF,270,205,245,310,NA,NA,NA,NA,43.1,36.3,AB,urchin remains; spines and test,NA,,,1228.778989,0.210243902,0.177073171,0.029239238,2
KIF12_158,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,6,HP.LF,237,188,208,255,NA,NA,NA,NA,41.9,33.3,LW,empty stomach,NA,,,1095.842495,0.22287234,0.17712766,0.03100505,12
KIF12_204,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,30,HP.HF,173,123.7,143.3,79,NA,NA,NA,NA,24,24.3,LW,hard shells (molluscs?); brown goop,,,,458.0442089,0.194017785,0.196443007,0.029934224,12
KIF12_206,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,165.2,123.4,142.4,82.1,NA,NA,NA,NA,16.6,17.2,MW,,,,,224.2468836,0.13452188,0.139384117,0.014726383,13
KIF12_264,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,40,HP.MF,259,198,127,300,NA,NA,NA,NA,34.9,36.3,LW,couple scales & mollusc shell,,,,994.9973713,0.176262626,0.183333333,0.025379996,12
KIF12_267,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,8,HP.LF,180,129.9,150.9,83.1,NA,NA,NA,NA,24.3,26.1,LW,shrimp,,otoliths in pieces,otoliths in pieces,498.1230772,0.187066975,0.200923788,0.029520136,12
KIF12_270,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,8,HP.LF,174.2,128,149.6,98.8,NA,NA,NA,NA,25.8,26.7,AB,empty stomach,,,,541.0293788,0.2015625,0.20859375,0.033021813,2
KIF12_306,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,38,LP.MF,228,182,206,200,NA,NA,NA,NA,34.5,32,LW,snot & blood,,otoliths in pieces,otoliths in pieces,867.0795724,0.18956044,0.175824176,0.026176777,12
KIF12_340,Lethrinidae,Perciformes,Monotaxis,grandoculis,MO.GRAN,BI,30,HP.HF,221,183,204,154.5,NA,NA,NA,NA,29.5,22.6,MW,empty stomach,,,,523.6249555,0.161202186,0.123497268,0.01563573,13
KIF11_028,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,9,HP.MF,204,172,NA,137.7,NA,NA,NA,NA,37.2,43.9,RT,empty,,,,1282.618033,0.21627907,0.255232558,0.043355125,14
KIF11_031,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,9,HP.MF,151.6,123.8,NA,62.4,NA,NA,NA,NA,29,31.1,RT,empty,,sat out on ice for 36 hours before dissection,sat out on ice for 36 hours before dissection,708.3506036,0.234248788,0.251211632,0.046217556,14
KIF11_035,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,9,HP.MF,189,155,NA,125.2,NA,NA,NA,NA,39,46,SC,unidentified pschmootz,,sat out on ice for 36 hours before dissection,sat out on ice for 36 hours before dissection,1409.004305,0.251612903,0.296774194,0.058647422,19
KIF11_057,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,9,HP.MF,181,151,NA,109.7,NA,NA,NA,NA,35.5,40.5,SC,UI'd goo,,,,1129.206209,0.235099338,0.268211921,0.049524416,19
KIF11_059,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,9,HP.MF,198,165,NA,141.7,NA,NA,NA,NA,38,44,SC,digested small parts >10mm,,,,1313.185729,0.23030303,0.266666667,0.048234554,19
KIF11_061,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,9,HP.MF,156,128,NA,65,NA,NA,NA,NA,33.2,36.2,SC,fish matter min. TL 18mm,,,,943.9229287,0.259375,0.2828125,0.057612483,19
KIF11_062,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,9,HP.MF,203,164,NA,148.8,NA,NA,NA,NA,36.7,42,RT,UI'd goo; regurgitated large crab claw,,,,1210.612729,0.223780488,0.256097561,0.045010884,14
KIF11_113,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,27,HP.HF,180,148,NA,97.6,NA,NA,NA,NA,33,37.5,,unidentifiable fish tissue,,,,971.9302272,0.222972973,0.253378378,0.044372271,1
KIF11_114,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,27,HP.HF,183,153,NA,116.2,NA,NA,NA,NA,33.3,38.6,,digested fish (18mm length),,,,1009.535091,0.217647059,0.252287582,0.043125938,1
KIF11_116,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,27,HP.HF,160,132,NA,64.9,NA,NA,NA,NA,30.5,30.5,,unidentifiable fish ,,,,730.6166415,0.231060606,0.231060606,0.041931625,1
KIF11_161,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,27,HP.HF,206,170,NA,168.5,NA,NA,NA,NA,42.4,47.2,,,,,,1571.801636,0.249411765,0.277647059,0.0543876,1
KIF11_212,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,15,LP.LF,176,145,NA,98,NA,NA,NA,NA,39.5,37.6,RT/SC,freshly caught caesionid in mouth; 8cm total length; digesting remains of fish in gut >46mm TL,80mm,,,1166.473352,0.272413793,0.259310345,0.055480302,18
KIF11_217,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,10,LP.LF,170,142,NA,90.1,NA,NA,NA,NA,37.6,36,RT/SC,MT,,,,1063.114954,0.264788732,0.253521127,0.052723416,18
KIF11_218,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,10,LP.LF,195,159,NA,145.9,NA,NA,NA,NA,39,39,RT/SC,MT,,,,1194.590607,0.245283019,0.245283019,0.047252506,18
KIF11_219,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,10,LP.LF,181,148,NA,108.8,NA,NA,NA,NA,39.2,39,RT/SC,MT,,,,1200.716712,0.264864865,0.263513514,0.054817235,18
KIF11_220,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,10,LP.LF,167,138,NA,91.6,NA,NA,NA,NA,39.5,39.2,RT/SC,digesting fish matter,,,,1216.110516,0.286231884,0.284057971,0.063857935,18
KIF11_246,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,40,HP.MF,208,168,NA,169,NA,NA,NA,NA,47,48.4,RT/SC,empty,,,,1786.623742,0.279761905,0.288095238,0.063301578,18
KIF11_247,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,40,HP.MF,166,134,NA,85.9,NA,NA,NA,NA,34.6,35.8,RT/SC,fish,>16mm,,,972.856997,0.258208955,0.267164179,0.054180051,18
KIF11_252,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,15,LP.LF,157,131,NA,62.5,NA,NA,NA,NA,38.7,35.4,RT/SC,snot,,,,1075.979776,0.295419847,0.270229008,0.06269913,18
KIF11_271,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,15,LP.LF,144,116,NA,55.1,NA,NA,NA,NA,30.3,30,RT/SC,snot,,,,713.9269305,0.261206897,0.25862069,0.053056401,18
KIF11_272,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,15,LP.LF,157,131,NA,64.5,NA,NA,NA,NA,39.8,40.5,RT/SC,baby lizardfish,>22mm,,,1265.9833,0.303816794,0.309160305,0.073770952,18
KIF11_274,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,15,LP.LF,160,131,NA,73.9,NA,NA,NA,NA,38.1,36,RT/SC,snot,,,,1077.252121,0.290839695,0.27480916,0.062773272,18
KIF11_277,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,15,LP.LF,142,115,NA,57.5,NA,NA,NA,NA,36.5,34.4,RT/SC,digesting fish,>23mm,,,986.145934,0.317391304,0.299130435,0.0745668,18
KIF11_497,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,35,HP.LF,157.2,128.7,NA,77.5,NA,NA,NA,NA,30.6,30,AO/KP,empty,,,,720.995514,0.237762238,0.233100233,0.043528677,5
KIF11_575,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,8,HP.LF,154.6,129,NA,79.1,NA,NA,NA,NA,33,29.8,KP,?,,no fork,no fork,772.3605539,0.255813953,0.231007752,0.046413109,10
KIF11_576,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,8,HP.LF,187,153,NA,127.3,NA,NA,NA,NA,36.1,33,KP,small fish,,,,935.6448321,0.235947712,0.215686275,0.039969449,10
KIF12_093,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,40,HP.MF,217,178,NA,154,NA,NA,NA,NA,37.9,43.7,RT,itsy bitsy crab larvae,NA,,,1300.8,0.212921348,0.245505618,0.041055422,14
KIF12_107,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,3,LP.MF,182,148,NA,97.5,NA,NA,NA,NA,40.6,44.6,AB,crustacean,NA,,,1422.167578,0.274324324,0.301351351,0.0649273,2
KIF12_114,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,2,LP.MF,155.3,127.6,NA,58.6,NA,NA,NA,NA,37.6,36.9,AB,empty gut,NA,,,1089.692828,0.294670846,0.289184953,0.066927214,2
KIF12_116,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,2,LP.MF,177,144.3,NA,91.3,NA,NA,NA,NA,41.3,40.7,SC,empty gut,NA,,,1320.183627,0.286209286,0.282051282,0.063401813,19
KIF12_118,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,2,LP.MF,171.2,137.3,NA,83,NA,NA,NA,NA,38.5,37.4,SC,empty gut,NA,,,1130.894815,0.280407866,0.272396213,0.059990314,19
KIF12_122,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,40,HP.MF,101.9,83.2,NA,15.3,NA,NA,NA,NA,25.9,25.6,AB,empty stomach,NA,,,520.7503983,0.311298077,0.307692308,0.075228596,2
KIF12_178,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,30,HP.HF,154,129,NA,59,NA,NA,NA,NA,31.7,29.6,MW,one massive scale, nothing else; see photo,18.7mm,18.7mm,736.9548047,0.245736434,0.229457364,0.044285488,13
KIF12_259,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,15,LP.LF,188,155,NA,111.6,NA,NA,NA,NA,43.7,11.7,AB,crab (13mm), fish (48mm) - see photo,,,401.566227,0.281935484,0.075483871,0.016714515,2
KIF12_343,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,30,HP.HF,218,176,NA,168.1,NA,NA,NA,NA,46.8,50.3,AB,white slime,,,,1848.858693,0.265909091,0.285795455,0.059686812,2
KIF12_345,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,30,HP.HF,98.2,79.8,NA,13.9,NA,NA,NA,NA,21.2,26.4,SC,unID'd stuff, white goo,,,439.5716441,0.26566416,0.330827068,0.069027777,19
KIF12_361,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,24,LP.MF,202,167,NA,151.1,NA,NA,NA,NA,47.4,48,SC,,,,,1786.937901,0.283832335,0.28742515,0.064073215,19
KIF12_457,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,8,HP.LF,92.9,72.4,80.5,12.12,NA,NA,NA,NA,21.9,23.6,GAJ,crustacean remains,,Originally labelled KIF12_386,Originally labelled KIF12_386,405.9251868,0.302486188,0.325966851,0.077440628,6
KIF12_437,Serranidae,Perciformes,Cephalopholis,urodeta,CE.UROD,Pi,27,HP.HF,77.2,60.1,NA,6.8,NA,NA,NA,NA,18.6,21,AB,crustacean remains,,,,306.7765226,0.309484193,0.349417637,0.084932357,2
KIF11_033,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,9,HP.MF,210,166,197,219.8,NA,NA,NA,NA,8.6,12,RT,empty,,sat out on ice for 36 hours before dissection,sat out on ice for 36 hours before dissection,81.05309046,0.051807229,0.072289157,0.002941395,14
KIF11_165,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,202,159,193,224,NA,NA,NA,NA,14.6,9.9,,nigracans greenish shit,,,,113.5214505,0.091823899,0.062264151,0.004490386,1
KIF11_167,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,205,165,192,193.7,NA,NA,NA,NA,14.1,10,,nigricans green goop plus red algal matter,,,,110.741141,0.085454545,0.060606061,0.004067627,1
KIF11_168,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,204,159,190,206.3,NA,NA,NA,NA,12.4,9.8,,nigricans green goop plus red algal matter,,,,95.44158482,0.077987421,0.06163522,0.00377523,1
KIF11_169,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,163,129,152,97.6,NA,NA,NA,NA,10.3,9,,nigricans green goop,,,,72.80640975,0.079844961,0.069767442,0.004375122,1
KIF11_245,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,215,172,201,227.6,NA,NA,NA,NA,18.2,10.5,RT/SC,typical shit,,,,150.089589,0.105813953,0.061046512,0.005073337,18
KIF11_284,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,195,155,188,216.1,NA,NA,NA,NA,12.6,7.2,RT/SC,nigricans shit,,,,71.25132138,0.081290323,0.046451613,0.002965716,18
KIF11_285,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,155,125,148,101.9,NA,NA,NA,NA,9.8,7.5,RT/SC,nigricans shit,,,,57.72676501,0.0784,0.06,0.003694513,18
KIF11_286,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,160,126,150,98.2,NA,NA,NA,NA,11.3,8.3,RT/SC,nigricans shit,,,,73.66249375,0.08968254,0.065873016,0.004639865,18
KIF11_287,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,159,123,148,84.5,NA,NA,NA,NA,10.5,7.2,RT/SC,nigricans shit,,,,59.37610115,0.085365854,0.058536585,0.003924655,18
KIF11_288,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,161,126,152,105.4,NA,NA,NA,NA,12.7,8.6,RT/SC,nigricans shit,,,,85.78118741,0.100793651,0.068253968,0.005403199,18
KIF11_385,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,40,HP.MF,165,129,154,104.2,NA,NA,NA,NA,11,7.7,RT/SC,nigricans shit,,,,66.52322444,0.085271318,0.059689922,0.00399755,18
KIF12_008,Acanthuridae,Perciformes,Acanthurus,nigricans,AC.NIGR,HE/DE,30,HP.HF,153.2,115.6,142.2,76.7,NA,NA,NA,NA,9,6.3,SC,,NA,,,44.53207586,0.077854671,0.05449827,0.003332401,19
